"link href","picture src","common-text","common-text 2","common-text 3","common-text 4","common-text 5","common-text 6","common-text 7","common-text 8","common-text 9","common-text 10","common-text 11","common-text 12","common-text 13","common-text 14","common-text 15","common-text 17","common-text 19"
"https://auto.ria.com/uk/auto_volkswagen_touareg_39610235.html","https://cdn4.riastatic.com/photosnew/auto/photo/_touareg__635068839fx.jpg","Перевірений VIN","KE 0013 AX","Volkswagen Touareg 2024","III покоління (FL)  •  3.0 TFSI AT (340 к.с.) AWD  •  R-Line Platinum+","77 000 $","· 3 410 330 грн","65 тис. км","Автомат","Бензин, 3 л","Київ","Готовий до перевірок","Доступний кредит","Продам авто, купувалося в
автосалоні Volkswagen Центр Кривий
Ріг в лютому 2024р, комплектація R
Line Pltinum+, синій салон, диски 21 діаметра, також у дилера було встановлено модуль збільшення потужності ДВС від компанії АВТ, потужність 408 к.с. Ціна модуля 150 тис. грн, вся передня частина авто і всі страждаючі частини кузова обклеєні анті-гравіною плівкою,авто на гарантії. Продаж авто можливо по безготівці. Можлива доставка авто в ваш регіон за домовленістю.","Декілька секунд тому","","",""
"https://auto.ria.com/uk/auto_vaz-lada_2106_39610240.html","https://cdn1.riastatic.com/photosnew/auto/photo/_2106__635070471fx.jpg","Перевірений VIN","BI 8988 BT","ВАЗ / Lada 2106 1987","I покоління  •  21063 1.3 MT (69 к.с.)  •  Base","1 350 $","· 59 792 грн","2 тис. км","Ручна / Механіка","Газ/Бензин, 1.3 л","Котельва","Вперше на AUTO.RIA","Торг","Авто в дуже доброму і збереженому стані. Встановлено газ, працює чудово, салон охайний, лодочки і фартух рідні, піддомкратники цілі. Машина в рідному залізі, ніколи нічого не варилося. Днище в гарному стані! Є рижики не критичні на фото, прибираються елементарно. Авто живе, кожного дня їздить, мінімальний торг, хто купить не пожалкує.","Декілька секунд тому","","",""
"https://auto.ria.com/uk/auto_mazda_3_39610236.html","https://cdn1.riastatic.com/photosnew/auto/photo/_3__635070506fx.jpg","Перевірений VIN","KE 2917 AX","Mazda 3 2005","I покоління/BK","5 300 $","· 234 737 грн","239 тис. км","Автомат","Бензин, 1.6 л","Дніпро (Дніпропетровськ)","Доступний кредит","","Отличный автомобиль без каких либо вложений!Кузов без гнили и ржавчины!Двигатель обслуженный и работает как часики,кпп и ходовая также без вопросов!Салон чистый и ухоженный!Новая резина,новый Акамулятор!С документами полный порядок. Небольшой торг присутствует!","Декілька секунд тому","","",""
"https://auto.ria.com/uk/auto_fiat_punto_39303154.html","https://cdn2.riastatic.com/photosnew/auto/photo/_punto__635071257fx.jpg","Перевірений VIN","BX 9322 HT","Fiat Punto 2011","III покоління","4 500 $","· 199 305 грн","307 тис. км","Ручна / Механіка","Дизель, 1.25 л","Хмельницький","Готовий до перевірок","Доступний кредит","Автомобілем коростувалась жінка,мотор перебраний,турбіна нова,ходова зроблена!","Декілька секунд тому","Торг","",""
"https://auto.ria.com/uk/auto_mazda_cx-5_39610199.html","https://cdn1.riastatic.com/photosnew/auto/photo/_cx-5__635068281fx.jpg","","","Mazda CX-5 2013","I покоління  •  2.2 SkyActiv-D MT (150 к.с.) 4WD  •  Touring","11 850 $","· 524 837 грн","294 тис. км","Автомат","Дизель, 2.2 л","Луцьк","Доступний кредит","Торг","Авто  2013 р. випуску замінене масла фільтра у офіціалів. Повна комплектація на шкірі повнопривідна , датчики сліпих зон камера заднього виду , мазика босе . Колір білий перламутр , авто не фарбоване!  Є пошкодження все як на фото ціна 11850 у.е нюанси на фото","Декілька секунд тому","","",""
"https://auto.ria.com/uk/auto_kia_picanto_39610226.html","https://cdn4.riastatic.com/photosnew/auto/photo/_picanto__635070159fx.jpg","Перевірений VIN","AX 7435 HC","Kia Picanto 2008","I покоління (FL)  •  1.1i АТ (64 к.с)  •  Base","6 200 $","· 274 598 грн","83 тис. км","Автомат","Бензин, 1.09 л","Харків","Готовий до перевірок","Доступний кредит","Продаю наше сімейне авто, Kia Picanto, двигун 1.1 на звичайній надійній автоматичній коробці передач, їздила дівчина. 
Автомобіль у повністю справному технічному стані, ТО було зроблено пару тис. км тому, в автомобілі замінено дуже багато деталей, обслуговувався в одному сервісі, є всі документи, грошей на машину не шкодували, оскільки це було перше авто. 
На кузові є кілька моментів, на фото все видно, на бамперах є подряпини
Відмінний варіант як для першого авто, великий кліренс, маленькі габарити, дуже маневрене і дуже зручно паркуватися де завгодно, витрата палива при цьому мізерна 
В авто є 4 автоматичні склопідйомники, підігрів заднього скла та підігрів дзеркал, електрорегулювання дзеркал, також є FM-модулятор, щоб можна було слухати музику через Bluetooth, додатково встановлені задні парктроніки, встановлено захист двигуна. 
Обігрівач дує гарячим повітрям, кондиціонер повністю справний, заправлений, чудово охолоджує
2 комплекти коліс, 2 ключі (один з дистанційним центральним замком)","Декілька секунд тому","Торг","",""
"https://auto.ria.com/uk/auto_daewoo_lanos_39610241.html","https://cdn3.riastatic.com/photosnew/auto/photo/_lanos__635070903fx.jpg","Перевірений VIN","BO 5960 HA","Daewoo Lanos 2002","I покоління","1 850 $","· 81 937 грн","220 тис. км","Не вказано","Газ/Бензин, 1.5 л","Чортків","Доступний кредит","","по машині нічого не потрібно робити варити малювати не потрібно мотор добрий ходова добра всі питання по телефоні любий вид переоформлення","Хвилину тому","","",""
"https://auto.ria.com/uk/auto_audi_sq5_39610220.html","https://cdn4.riastatic.com/photosnew/auto/photo/_sq5__635064289fx.jpg","Перевірений VIN","","Audi SQ5 2019","II покоління (FL)  •  3.0 TFSI Tiptronic (354 к.с.) Quattro  •  S-Line","47 500 $","· 2 103 775 грн","97 тис. км","Автомат","Бензин, 3 л","Київ","Готовий до перевірок","Доступний кредит","Автомобіль був придбаний та регулярно обслуговувався в офіційному сервісному центрі «Порше-Захід», що гарантує його відмінний технічний стан та прозору історію обслуговування. До авто додаються два комплекти резини.
Машина вирізняється високою потужністю, динамікою та чудовою маневреністю, даруючи справжнє задоволення від керування як у місті, так і на трасі. Доглянутий салон, акуратна експлуатація та своєчасне технічне обслуговування.
Авто не потребує жодних вкладень — сів і поїхав. Готовий до будь-яких перевірок.","Хвилину тому","","",""
"https://auto.ria.com/uk/auto_peugeot_5008_39610238.html","https://cdn1.riastatic.com/photosnew/auto/photo/_5008__635071101fx.jpg","Перевірений VIN","AB 6174 MA","Peugeot 5008 2010","I покоління","6 900 $","· 305 601 грн","177 тис. км","Ручна / Механіка","Бензин, 1.6 л","Вінниця","Доступний кредит","","","Хвилину тому","","",""
"https://auto.ria.com/uk/auto_fiat_500_39294730.html","https://cdn1.riastatic.com/photosnew/auto/photo/_500__626214636fx.jpg","Перевірений дилер","AA 9688 MC","Fiat 500 2015","III покоління (FL)","5 900 $","· 261 311 грн","68 тис. км","Не вказано","Електро","Київ","Готовий до перевірок","Доставка у ваше місто","- Підігрів сидінь
- Парктроніки
- Круїз-контроль
- AUX / USB
- Клімат-контроль","Хвилину тому","Доступний кредит","Тільки на AUTO.RIA","Був в ДТП"
